timestamp,x,y,z
1519981311258,-0.22559655,-2.874293,1.1038294
1519981311278,0.8465487,-3.0911703,-0.9251394
1519981311301,1.6506832,-2.2186532,-1.3929119
1519981311321,1.4238558,-1.68525,-1.2567668
1519981311343,0.5573003,-1.5365905,-0.75634193
1519981311362,-0.04672277,-1.4654504,-0.1406374
1519981311379,0.23358613,-0.97380304,-0.47513866
1519981311398,0.38642186,-0.31825447,-1.2404256
1519981311426,0.030932069,-0.36104846,-1.8940601
1519981311438,-0.43553334,-0.53845406,-1.7750959
1519981311459,-0.7380094,-0.54648805,-1.6933899
1519981311487,-0.45876443,-0.23117113,-1.4780989
1519981311501,0.01275605,-0.058404922,-1.5685706
1519981311527,0.11328864,0.025219679,-1.8153853
1519981311545,-0.7633448,0.40280366,-0.58726025
1519981311564,-2.1202674,0.6810076,2.1186028
1519981311581,-2.4178963,0.71478987,3.9330359
1519981311602,-0.8563031,0.4239664,1.4839563
1519981311626,-0.0010300279,0.74138546,0.25278473
1519981311641,0.26299077,1.0819974,1.1342039
1519981311667,-0.0017758608,0.78124833,3.2178545
1519981311685,-0.29423225,-0.8149507,3.1907024
1519981311705,0.0928309,-1.1009171,3.924305
1519981311727,0.8014563,-1.0799863,4.4095325
1519981311742,0.89425164,-1.9191884,1.7254562
1519981311760,0.7715181,-2.9714575,-1.6155329
1519981311783,0.038419962,-3.717049,-2.1595602
1519981311801,-0.37093294,-3.3620918,-0.28136444
1519981311825,-0.23267698,-3.0910964,0.38843822
1519981311845,-0.103777885,-2.8785357,-0.19763184
1519981311864,0.038923383,-2.5186927,-0.2346077
1519981311882,0.21804613,-1.8801796,0.14575005
1519981311902,0.51987773,-0.95294094,0.81463146
1519981311929,0.7258055,-0.8519368,-0.1995306
1519981311939,0.4173775,-0.98236215,-1.9064488
1519981311963,0.2368173,-0.7049949,-2.3078647
1519981311982,0.6078653,-0.20389986,-2.2327042
1519981312006,0.86632127,0.13558865,-2.2955785
1519981312026,0.72354394,0.14948916,-2.274428
1519981312047,0.69426334,0.10731864,-1.9223328
1519981312066,0.75990635,0.2016778,-2.0521512
1519981312081,0.87311494,0.59040165,-1.2845516
1519981312101,0.45535943,0.49826145,-0.043569565
1519981312122,0.40620992,0.025917053,0.74656105
1519981312145,0.8358062,-0.15108967,1.653925
1519981312167,0.81769633,-0.44295144,0.85434055
1519981312185,-0.094878495,-0.43333006,0.29008198
1519981312203,-0.77252376,-0.9294102,0.54935837
1519981312221,-0.70338154,-0.46602273,1.3381319
1519981312244,0.10016273,1.2452264,3.9249945
1519981312263,0.01605156,1.3185029,3.348011
1519981312281,-0.29442936,-0.28383768,0.38510132
1519981312307,-0.5314209,-2.0355926,-0.15875244
1519981312329,-0.3881818,-2.3693817,0.6179199
1519981312345,0.41782188,-1.9369776,0.73318386
1519981312362,0.9040913,-1.2363536,0.143569
1519981312382,0.5055327,-0.81772566,0.22097397
1519981312401,-0.45381317,-0.8155787,0.28885746
1519981312422,-0.6661929,-0.5316268,-0.23111534
1519981312448,-0.46275008,0.37482977,-1.0396967
1519981312468,-0.3275077,0.8213283,-1.5913954
1519981312486,-0.28878123,0.90504587,-2.1344357
1519981312503,0.18211198,1.1155539,-2.2170901
1519981312520,1.0078493,1.3614786,-1.8327823
1519981312541,1.8819935,1.5529442,-1.4131546
1519981312564,1.234762,1.6780618,-0.8743992
1519981312581,0.6825477,1.3295932,0.4497528
1519981312605,0.23684096,1.1207464,1.9850302
1519981312626,-0.73274404,0.8132763,1.3701801
1519981312643,-0.9976584,0.8008406,0.8232069
1519981312667,-1.1338416,1.0563481,1.5674925
1519981312683,-1.3203751,0.93416595,2.983386
1519981312701,-0.27270475,-0.13313985,2.5802536
1519981312720,0.43495372,-0.90346014,0.7380066
1519981312741,-0.21608877,0.2791407,3.0022287
1519981312764,-0.523413,-0.40994096,2.6892853
1519981312782,-0.04890138,-2.0652008,-0.97278214
1519981312805,0.14506194,-3.20334,-2.87365
1519981312820,0.1864022,-2.7635014,-1.3292999
1519981312840,0.26359355,-1.791765,0.62247086
1519981312861,0.27984527,-1.1819364,1.5549011
1519981312880,0.03940481,-1.1253289,0.74341774
1519981312901,-0.43207237,-1.0144056,0.5780325
1519981312923,-1.1206001,-0.7366265,0.4721918
1519981312943,-1.0981345,-0.47547495,0.013139725
1519981312964,-0.57695293,-0.16838658,-1.1967373
1519981312983,0.17805919,0.23676038,-2.686997
1519981313001,0.44959566,0.34729052,-3.3617973
1519981313019,0.4580363,0.2975819,-2.9262204
1519981313046,0.41530496,0.3091674,-1.7989116
1519981313065,0.36411384,0.54501224,-0.7977438
1519981313089,0.56771874,0.8484812,-0.020866394
1519981313111,0.9707755,0.68402624,-0.34002113
1519981313121,1.2161684,0.5261097,0.32787418
1519981313141,1.1665466,0.2207632,1.0720043
1519981313163,1.0518624,-0.50695133,1.0493193
1519981313187,0.4508741,-0.7293135,1.3824434
1519981313202,-0.22713482,-0.43551946,2.1541357
1519981313222,-0.042519897,-0.6089721,1.1552601
1519981313239,0.33809325,-1.1822736,-0.29312325
1519981313261,-0.22521776,-0.5191815,-0.13246536
1519981313286,-1.62502,0.973361,1.6474943
1519981313302,-1.5626845,1.3020072,3.2828627
1519981313322,-0.776441,-0.03155279,1.5915956
1519981313342,-0.09338075,-1.2298174,-1.5906248
1519981313364,0.43434125,-0.7181901,-1.198
1519981313384,0.6601434,-0.046067715,-0.8766432
1519981313401,0.0390687,0.021694183,-0.03387165
1519981313429,-0.6357685,-0.10911155,0.91930103
1519981313443,-0.6268971,-0.24838781,-0.36248207
1519981313467,-0.18781099,0.19154263,-1.4854822
1519981313480,0.07041377,0.33157778,-2.3474522
1519981313499,-0.0025009513,0.06696415,-3.4657035
1519981313522,-0.13165414,0.119623184,-3.00421
1519981313541,-0.195418,0.35856795,-2.1053624
1519981313564,0.28543642,0.43787122,-1.9731965
1519981313584,0.39990783,0.8010206,-1.4941983
1519981313602,-0.074493706,0.92400455,-1.056633
1519981313620,-0.5702649,0.87918735,-0.10444832
1519981313641,-0.7772545,1.1005385,1.5387135
1519981313663,-0.4000426,1.2350662,2.246004
1519981313680,-0.038210332,1.3032982,1.6581583
1519981313704,-0.025201201,1.5248761,1.9374495
1519981313724,-0.30493325,1.6817641,2.481677
1519981313743,-0.52597547,0.9437499,1.4951391
1519981313764,-0.54395187,-0.12904525,0.30285645
1519981313783,-0.5966823,0.098523855,1.6830816
1519981313799,-0.53081167,0.6418004,3.8245916
1519981313821,-0.003946781,-0.7381213,1.3327866
1519981313840,0.23098093,-1.788589,-0.7956457
1519981313863,0.022612095,-1.8964157,-0.40565014
1519981313885,-0.11421442,-1.4061524,1.7149601
1519981313901,0.16400385,-0.99199605,2.8664236
1519981313922,0.09600079,-1.0744693,1.422265
1519981313943,0.03816408,-0.9924468,0.39327812
1519981313959,-0.2185924,-0.7884228,-0.19843388
1519981313979,-0.23966372,-0.58758974,-1.4892373
1519981314003,-0.022780776,-0.40906787,-2.6258578
1519981314023,0.1266861,0.048967123,-1.8264899
1519981314042,0.21843696,-0.23539352,-2.762453
1519981314065,0.7274944,-0.43410444,-3.5473523
1519981314082,1.2854979,-0.47381544,-3.1563969
1519981314101,1.4238707,-0.37604117,-2.6896849
1519981314122,0.7440975,-0.4911542,-0.8340893
1519981314140,0.36793232,-0.76836514,-0.34612083
1519981314160,0.64534694,-1.1412979,-1.4640069
1519981314185,1.3316317,-1.2805076,-1.9655814
1519981314205,1.535472,-1.3971802,-1.5933747
1519981314226,0.93417907,-1.5828766,-0.41545105
1519981314242,0.042080283,-1.597909,-0.48762798
1519981314260,-0.7072128,-1.0535746,0.17217731
1519981314279,-0.74441516,-0.758127,0.95851994
1519981314302,-0.6802599,-1.0369005,0.39117527
1519981314322,-1.1596124,-0.06876969,1.0334177
1519981314343,-1.7727115,2.3231695,3.3349676
1519981314369,-1.0772929,3.0149493,4.91759
1519981314384,-0.52091765,1.5392876,2.6025095
1519981314400,-0.3522984,-0.037703276,0.9180107
1519981314428,-0.59754103,-0.06913781,1.8432455
1519981314441,-0.20748264,0.11180186,2.1295204
1519981314459,0.8354746,0.5820812,2.3967667
1519981314485,1.7740066,0.76099813,1.2019062
