timestamp,gyro_x,gyro_y,gyro_z
1523256490311,0.006924219,-0.0026631611,-0.021837922
1523256500096,-0.52597433,-0.76965356,-0.28442562
1523256500109,-1.5273229,0.52464277,-1.820537
1523256500125,-1.7827201,0.10279802,-2.375806
1523256500139,-1.8562233,0.6918893,-2.583
1523256500184,-1.6106799,1.000816,-2.740393
1523256500203,-1.7097495,0.13262543,-2.863431
1523256500225,-1.7542243,-0.99229383,-2.6687539
1523256500234,-1.3369069,-1.3070794,-2.7345338
1523256500256,-0.9464875,-1.2559468,-2.6628947
1523256500282,-0.57311225,-1.3203954,-2.2722092
1523256500304,-0.37630466,-1.6154735,-1.68152
1523256500333,-0.23995082,-1.5739282,-0.9012137
1523256500354,0.11930962,-0.9667275,-0.1438107
1523256500379,0.77418095,-0.120907515,0.4000068
1523256500406,1.3164005,0.88044107,0.6825682
1523256500443,1.2985574,1.2335763,1.7246631
1523256500463,0.83729786,1.4748586,2.8027108
1523256500485,2.3779366,1.3885722,1.722
1523256500503,1.2136025,-0.14061491,1.3904364
1523256500533,0.6940198,-0.5022722,0.6713829
1523256500560,1.0357034,0.068176925,1.7044232
1523256500586,0.9981528,0.6508766,2.2130868
1523256500617,1.0857708,0.49375007,1.7904432
1523256500645,1.0096043,0.32117724,1.1254519
1523256500660,0.8591358,0.12623383,0.9020127
1523256500692,0.6583334,-0.24341293,1.0295781
1523256500708,0.58909124,-0.046339005,1.1307782
1523256500732,0.59574914,0.2806972,1.0487529
1523256500757,0.6061355,0.36964676,0.80081254
1523256500801,0.520648,0.39947417,0.6924219
1523256500836,0.40932786,0.11504856,0.7821704
1523256500842,0.41891524,0.0058589545,0.99495703
1523256500869,0.62078285,0.11558119,1.0285128
1523256500888,0.8966864,-0.47351006,0.7954862
1523256500907,0.77125144,-0.8090684,0.6199839
1523256500935,0.24154872,-0.4644553,0.35606465
1523256500960,-0.67058396,-0.096939065,-0.14913702
1523256500985,-0.9805759,-0.55553544,-0.7366304
1523256501010,-1.2783173,0.23915187,-1.1411645
1523256501034,-1.2016183,1.3358417,-1.4319818
1523256501061,-1.7957696,1.1014835,-1.8407769
1523256501088,-1.7680727,0.3121225,-2.3635554
1523256501115,-1.6359799,0.5044027,-2.3795345
1523256501136,-1.6168051,0.28495824,-2.2463765
1523256501174,-1.7467674,-0.52357745,-2.1672804
1523256501199,-1.75236,-1.0167949,-2.1494374
1523256501213,-1.5177355,-1.1856394,-2.1616879
1523256501227,-1.4375744,-1.4594123,-2.10443
1523256501251,-1.154214,-1.7395768,-1.7462348
1523256501276,-0.7797736,-1.4375744,-1.4138722
1523256501303,-0.44048685,-1.2090752,-0.9835054
1523256501328,-0.029028457,-0.721184,-0.43249738
1523256501353,0.4812332,0.21837921,0.088150635
1523256501378,0.711863,0.90707266,0.28362668
1523256501402,1.2341089,0.8330368,0.8764463
1523256505107,1.2024173,1.8402443,1.5643408
1523256505132,1.3864417,0.15126756,1.092695
1523256505144,-0.083090626,1.3811153,-0.038615838
1523256505160,-0.10466223,1.496164,0.02263687
1523256505183,-0.103863284,1.4562165,0.08495484
1523256505195,-0.14114754,1.5211977,0.13954964
1523256505204,-0.37790257,1.500425,0.2314287
1523256505213,-0.53982276,1.5068166,0.35286885
1523256505234,-0.6372945,0.8069378,0.29454562
1523256505250,-0.54941016,0.39947417,0.0314253
1523256505267,-0.72304827,0.7755125,-0.24687503
1523256505283,-0.9419601,1.2985574,-0.4812332
1523256505300,-1.1848404,1.4716629,-0.7366304
1523256505326,-1.330249,1.75236,-1.2618058
1523256505352,-1.1720573,1.3097427,-1.736381
1523256505379,-1.4562165,1.5345135,-2.1236048
1523256505405,-1.3432984,1.778459,-2.163552
1523256505432,-1.3129385,1.5089471,-2.221609
1523256505457,-1.6434368,0.99069595,-2.503904
1523256505482,-1.7204021,0.52357745,-2.6240127
1523256505508,-1.7318537,0.09054748,-2.3582292
1523256505534,-1.6551547,-0.716923,-1.8975023
1523256505560,-1.5433019,-1.3454291,-1.6333168
1523256505586,-1.2993563,-1.4439659,-1.1406319
1523256505611,-0.9353022,-1.1366372,-0.33662358
1523256505639,-0.4293016,-0.82611257,0.5390238
1523256505677,0.10279802,0.47297743,0.99948436
1523256505690,0.62264705,1.2554141,1.1819109
1523256505717,0.4596616,1.5787219,2.4082966
1523256505743,2.5363946,1.375789,1.2191951
1523256505767,1.2295815,-0.075101145,1.0266486
1523256505801,0.9882991,0.4788364,1.0338391
1523256505821,0.77577883,0.64182186,2.066613
1523256505856,0.711863,0.922519,2.2666163
1523256505874,0.6540724,0.88896316,2.070608
1523256505896,0.5832323,0.74675035,1.8181401
1523256505915,0.59628177,0.37071204,1.459945
1523256505937,0.6103965,-0.010120012,1.4282533
1523256505966,0.6261092,-0.025566347,1.4058827
1523256505979,0.6580671,0.060720075,1.3020195
1523256506028,0.5475459,0.082025364,1.0205233
1523256506053,0.37310886,0.40959418,0.84395576
1523256506080,0.18535602,0.5448828,0.67031765
1523256506110,0.051931642,0.43356264,0.5696502
1523256506139,0.025832662,0.31478566,0.577107
1523256506157,0.036485307,0.45540056,0.49188587
1523256506173,-0.16378441,0.7504788,0.4878911
1523256506190,-0.5816344,1.0865698,0.43303
1523256506206,-0.9353022,1.1084076,0.23702134
1523256506232,-1.6053536,0.44315,-0.08149273
1523256506316,-2.2495723,0.59228706,-0.19973709
1523256506330,-2.1917815,1.5211977,-1.7675401
1523256506352,-1.650361,1.0162623,-2.2234733
1523256506392,-1.3488911,0.5683186,-2.000833
1523256506396,-1.2652678,0.47351006,-1.8900454
1523256506455,-1.102815,-0.91452956,-1.8277274
1523256506460,-0.79735047,-0.54168695,-2.1739385
1523256506478,-0.9635317,0.015446335,-2.334527
1523256506645,-0.5906891,-0.1768339,-2.2250712
1523256506662,-0.33289513,-0.8511463,-1.8767296
1523256506673,1.5749935,0.74035877,0.1917476
1523256506697,1.6804547,1.0157297,0.19547603
1523256506702,1.6399746,0.7643272,1.3174658
1523256506724,2.4652882,0.6540724,0.5030711
1523256506727,1.2234563,-0.24660872,0.56245965
1523256506750,0.9938917,-0.535828,0.5970807
1523256506778,0.71825457,-0.72437984,1.1140003
1523256506794,0.58749336,0.20559604,1.9893813
1523256506818,0.6279734,0.5118596,1.9864519
