timestamp,acc_x,acc_y,acc_z
1523277832200,0.24301147,0.107140526,11.760918
1523277832204,0.83258367,0.5243302,11.089942
1523277832206,1.2258313,-1.6956934,10.50875
1523277832220,0.39683893,-1.9818004,9.435549
1523277832235,0.51834464,0.37349546,7.6883802
1523277832260,1.4161704,1.4796166,7.8290396
1523277832285,1.0690111,1.6585833,8.258799
1523277832318,1.9111716,2.693477,8.046912
1523277832341,1.2719196,0.79966336,5.961562
1523277832362,1.9009962,1.417966,6.737882
1523277832388,0.6398504,3.3859997,9.8437605
1523277832414,0.8074445,3.008913,11.12406
1523277832439,0.688333,1.4981717,10.681731
1523277832464,0.3321955,3.6984432,12.789227
1523277832488,1.839944,2.4612393,11.291056
1523277832514,2.7299886,1.1318588,10.824784
1523277832541,2.7323828,-0.13347675,11.167754
1523277832563,1.9728222,-0.030526072,11.048642
1523277832590,1.0995371,1.1611878,9.356541
1523277832616,1.0564415,1.0749966,9.0081835
1523277832644,1.2689269,0.6326678,9.965864
1523277832669,0.89603,1.5125369,9.923966
1523277832914,-0.045489833,1.7860745,9.739014
1523277832929,-0.48123455,1.5089456,9.135675
1523277832939,0.62368953,2.043451,8.592192
1523277832953,1.6603789,2.1589713,7.554305
1523277832964,0.97144735,3.0681696,7.4447703
1523277832970,0.85173726,2.3026235,8.161235
1523277832983,1.0348936,2.546832,8.98903
1523277832992,1.2497733,3.0190883,9.34038
1523277833019,0.97743285,2.8514943,10.062231
1523277833085,1.0546459,2.8095956,10.284293
1523277833088,0.90021986,2.4768016,10.04607
1523277833098,0.24779987,1.9375077,10.085575
1523277833103,-0.3309984,3.1256304,9.949105
1523277833108,0.28072014,3.3033998,10.618883
1523277833111,1.204882,2.284667,11.329363
1523277833120,1.0313023,2.9460652,10.469844
1523277833148,0.47884035,3.957017,8.3821
1523277833155,-0.7649474,4.0779243,8.149862
1523277833158,-0.30166942,4.146757,8.789114
1523277833208,1.0127473,3.4099417,9.69113
1523277833214,1.4389153,2.5743654,9.534908
1523277833244,0.94331545,2.7407625,8.678981
1523277833266,0.57640404,2.8209682,8.090606
1523277833298,0.99419224,2.9747956,8.365939
1523277833308,-1.6047137,2.4223335,8.934562
1523277833334,-0.39983168,3.3692403,7.0006456
1523277833377,-0.011372458,4.4101195,7.001843
1523277833426,1.0480618,3.1028855,9.592968
1523277833439,-0.48123455,3.3889925,9.920973
1523277833443,-0.52133745,3.8839936,9.575011
1523277833507,0.2885013,4.401141,10.20289
1523277833532,0.8726865,4.4035354,9.470863
1523277833539,-0.28311434,4.8787847,8.985439
1523277833592,-0.4285621,5.4312468,7.4507556
1523277833604,1.1438298,6.0405707,9.068638
1523277833616,0.39264908,5.637148,9.772532
1523277833673,-0.51116204,4.947019,9.842564
1523277833686,-1.3694834,4.188656,10.247183
1523277833689,-1.608305,2.6970682,10.71525
1523277833743,-2.1894975,6.199187,8.237251
1523277833748,-0.24001873,4.052785,9.154829
1523277833751,0.25079262,3.3249476,10.19451
1523277833799,-0.22385786,3.3758245,8.719683
1523277833824,-0.54288524,3.4063504,7.9433627
1523277833876,0.03232172,4.4879313,7.4974427
1523277833889,0.49081135,4.7141833,7.98586
1523277833894,0.5057751,4.1802764,8.79091
1523277833934,0.41838676,4.209007,8.893861
1523277833939,0.6781576,4.660912,8.861539
1523277833975,1.4287399,5.4922986,8.914211
1523277833979,1.5173253,5.583877,9.218874
1523277834025,0.99898064,5.1170077,9.503783
1523277834035,1.4694413,4.5352163,9.639654
1523277834059,1.483208,4.4220905,9.233239
1523277834098,0.9600749,4.8027687,8.574235
1523277834102,0.91817635,6.0902505,8.593389
1523277834160,1.6681601,6.0836663,9.470863
1523277834175,1.8956091,4.7099934,8.958505
1523277834180,1.103727,4.751293,8.30369
1523277834184,0.51714754,4.991312,7.9146323
1523277834225,0.13587095,5.3300915,7.978079
1523277834294,0.65780693,4.8997335,8.069058
1523277834298,1.1150994,4.5902834,8.213309
1523277834302,1.5616181,4.38917,8.647258
1523277834307,1.5448587,4.343082,8.7370405
1523277834351,0.99299514,4.201824,8.604162
