timestamp,gyro_x,gyro_y,gyro_z
1523293275550,0.006924219,-0.0026631611,-0.021837922
1523293275701,1.6096146,0.84422207,1.5792545
1523293275737,1.6668725,1.0327739,1.4367754
1523293275770,1.6101472,1.230913,1.0343717
1523293275775,1.6567526,0.6221144,0.93130744
1523293275816,1.6700684,0.29028457,1.045557
1523293275850,1.3558153,0.5267733,1.0684602
1523293275856,0.7635283,0.6215818,0.9510148
1523293275887,0.63037026,0.8149273,0.8905611
1523293275921,0.13129385,0.6087986,0.82850945
1523293275925,0.05752428,-0.08149273,0.7640609
1523293275959,-0.56618804,0.5400891,0.055127434
1523293275966,-1.438107,0.41864893,-0.8633968
1523293276000,-1.8844528,0.38242993,-1.4341123
1523293276031,-2.001632,-0.08468852,-2.0769994
1523293276035,-2.1648836,-1.7060211,-2.2857912
1523293276078,-2.957973,-0.6780408,-2.431466
1523293276116,-2.9236183,-0.48469532,-2.3776703
1523293276122,-2.656237,0.72970617,-2.0146813
1523293276154,-2.0431771,-0.33076462,-2.301504
1523293276188,-1.5451661,-1.6682042,-2.4530377
1523293276192,-1.1297129,-2.8336034,-2.141714
1523293276230,-0.819721,-2.8117654,-1.2926984
1523293276236,-0.267914,-2.1827269,-0.6213155
1523293276267,0.32597092,-1.3241237,0.09347696
1523293276302,1.1419635,-0.83037364,0.78296936
1523293276345,2.209891,-0.89322424,0.95208013
1523293276351,1.8623486,-0.105993815,0.65034395
1523293276389,0.31025827,-1.4002901,-0.1222391
1523293276395,-0.08495484,-0.71159667,-0.5866944
1523293276434,0.60427123,-0.53955644,-0.9715212
1523293276441,-0.0127831735,0.8085357,-0.5438175
1523293276481,0.9518138,2.5305357,0.6317018
1523293276523,0.09134643,-0.7281082,0.47297743
1523293276530,-0.20559604,1.7134778,0.51984906
1523293276570,1.4160028,4.675978,1.4064153
1523293276574,1.8426412,1.1691277,1.7198695
1523293276618,1.4074807,-0.41438788,1.067395
1523293276636,1.6245283,0.6018744,0.8002799
1523293276693,1.5230619,1.1659319,1.6311862
1523293276697,1.459146,1.2245215,1.6660736
1523293276707,1.5739282,1.2495552,1.4346449
1523293276745,1.5608788,0.87032104,1.2895026
1523293276752,1.4804512,0.06551377,1.303351
1523293276795,1.4168017,0.36485308,1.3608754
1523293276802,0.72171664,0.8319715,0.9438243
1523293276860,0.67191553,1.0865698,0.5605954
1523293276869,0.049534798,0.7440872,0.68816084
1523293276921,0.047137953,0.3653857,0.91852427
1523293276935,-0.13262543,0.50120693,0.11451593
1523293276987,-0.85727155,0.47031426,-0.60267335
1523293276990,-1.6144083,-0.07403588,-1.4580808
1523293276998,-1.9286613,0.27004454,-2.0634172
1523293277002,-1.9393139,-2.1358552,-2.154231
1523293277047,-2.8378644,-0.9502159,-2.2618227
1523293277051,-2.962767,-1.0343717,-2.3172164
1523293277092,-2.7310717,0.35952675,-1.9102855
1523293277099,-2.2000375,0.25406557,-2.0961742
1523293277140,-1.8021611,-0.7456851,-2.4964473
1523293277150,-1.5145397,-2.1214743,-2.2130868
1523293277217,-1.2104068,-2.6589,-1.4183996
1523293277223,-0.5238438,-2.5102956,-0.7395598
1523293277230,0.06258429,-2.0149477,-0.19920446
1523293277272,0.7435546,-1.3438311,0.30333406
1523293277276,1.9457055,-0.89588743,0.8005462
1523293277321,2.4727452,-0.64182186,0.78083885
1523293277324,0.7235809,0.2034655,0.08495484
1523293277368,-0.19973709,-1.5078819,-0.8495484
1523293277371,0.16085494,-0.8005462,-1.2652678
1523293277422,0.47510794,-0.68656296,-0.84155893
1523293277434,0.015446335,1.8615496,-0.350472
1523293277478,1.1800467,1.3763217,0.05139901
1523293277484,-0.56751966,-0.5273059,0.34967306
1523293277524,0.02609898,4.922587,0.9254485
1523293277531,2.0245352,3.8008635,1.9078887
1523293277569,1.2362394,-0.35420042,2.0407803
1523293277575,1.2407668,0.16192019,1.1241204
1523293277609,1.4695324,0.799481,1.4674017
1523293277619,1.4764565,2.1017668,2.0335898
1523293277652,1.5709988,1.3118732,1.6652746
1523293277690,1.7299895,1.4072144,1.3840449
1523293277745,1.7180053,0.99495703,1.33957
1523293277749,1.660481,-0.027164243,1.5166702
1523293277752,1.2844427,0.15659387,1.602424
1523293277785,0.43755737,1.149953,0.90467584
1523293277819,0.35579833,0.93157375,0.67271453
1523293277824,-0.14088123,0.7137272,0.9020127
1523293277854,-7.9894834E-4,0.37390783,0.8625979
1523293277887,-0.11797804,0.40373522,0.40852892
1523293277892,-0.69055766,0.011185277,-0.3139867
1523293277926,-1.2969595,-0.53795856,-1.4937671
1523293277975,-1.9198729,0.41385525,-2.4644892
1523293277981,-1.9563582,-1.7923075,-2.2841933
1523293277985,-2.572081,-0.69668293,-2.4687505
1523293278020,-2.912433,0.1438107,-2.8133633
1523293278051,-2.705239,0.43356264,-2.3755398
1523293278082,-2.1153488,-0.17736652,-2.4999094
1523293278087,-1.6961673,-1.3630059,-2.583
1523293278120,-1.3148026,-2.6860642,-2.2708776
1523293278154,-0.87804425,-2.988067,-1.6729978
1523293278164,-0.15606125,-2.6802053,-1.0322412
1523293278211,0.27350664,-2.0197413,-0.345412
1523293278217,0.92464954,-1.3081448,0.35233623
1523293278247,2.0679445,-0.74302197,0.96566224
1523293278281,2.5718148,-0.14753912,0.93929696
1523293278317,0.9369001,0.2396845,0.5608617
1523293278322,-0.08841695,-1.6772588,-0.38802257
1523293278355,0.054328486,-0.43782368,-0.9257148
1523293278364,0.19760656,-0.8426242,-0.59761333
1523293278400,-0.4111921,2.3318639,-0.22370553
1523293278441,0.917459,1.2175972,0.66365975
1523293278449,0.15153387,-0.35633096,0.2876214
1523293278493,0.0628506,3.310842,0.87990844
1523293278499,1.8325212,3.94787,1.5984293
1523293278536,1.3478259,0.4346279,1.887116
1523293278540,1.2703278,0.03834952,1.1848404
1523293278585,1.5041534,0.67697555,1.2831111
1523293278590,1.5507587,1.1547467,1.7230653
1523293278637,1.6261262,1.0040118,1.5630093
1523293278644,1.6410398,0.73290193,1.4365091
1523293278685,1.6037556,0.6412892,1.3424995
1523293278692,1.6314526,-0.026631612,1.4567492
1523293278751,1.8394454,0.024501082,1.6096146
1523293278758,1.0223875,0.624245,1.3885722
1523293278761,0.66206187,1.4002901,0.7307714
1523293278806,-0.11105382,1.3230585,0.81918836
1523293278810,-0.14247912,0.7073356,1.1430287
1523293278855,-0.14274544,0.46711847,0.15978967
1523293278860,-0.55074173,0.07084008,-0.4708469
1523293278917,-1.3257216,-0.49534798,-1.72706
1523293278923,-1.7140105,-0.07243799,-2.4327977
1523293278966,-1.8194717,-0.6689861,-2.4695494
1523293278987,-2.4964473,-0.98590225,-2.177667
1523293279036,-3.0812774,-0.2593919,-2.6820695
1523293279040,-3.0748858,0.18429075,-2.4951158
1523293279048,-2.8005803,0.70840085,-2.1968417
1523293279053,-2.2935145,-0.18642128,-2.3427827
