timestamp,gyro_x,gyro_y,gyro_z
1523364253778,0.006924219,-0.0026631611,-0.021837922
1523364253966,-0.03568636,0.3568636,-0.639425
1523364254023,0.0727043,-0.7819041,-0.3637878
1523364254030,0.6135923,-0.6380934,0.022903185
1523364254040,0.5792375,-0.47617322,-0.022104237
1523364254044,0.3086604,-0.19547603,0.02263687
1523364254090,0.31451932,-0.05006743,0.32783514
1523364254093,0.38109836,-0.29880667,0.42770368
1523364254142,0.28522456,-0.10705908,0.29960564
1523364254148,-0.059921127,0.24181503,0.23222765
1523364254197,-0.22264028,0.51665324,0.28895298
1523364254208,-0.11824436,0.20612867,0.30706248
1523364254282,-0.33822146,0.16884442,-0.1272991
1523364254286,-1.2351742,-0.0644485,-0.7342335
1523364254295,-1.9574234,0.13475595,-1.5707325
1523364254301,-2.039715,0.18801917,-2.1915152
1523364254348,-1.4958977,0.25086978,-2.3728766
1523364254354,-1.1624699,-0.4383563,-1.7664748
1523364254359,-0.74035877,-0.7914915,-1.3595438
1523364254418,-0.3291667,-0.1587244,-0.8876316
1523364254422,0.033023197,0.16245283,-0.7257114
1523364254470,0.5747102,0.23382555,-0.65380603
1523364254488,0.6087986,0.1454086,0.050600063
1523364254501,0.5605954,-0.2231729,0.7342335
1523364254555,0.5448828,-0.32277513,1.2295815
1523364254562,0.8111989,-0.1272991,1.5654061
1523364254567,1.1446266,0.04261058,1.8058896
1523364254613,1.4503576,-0.24074976,1.8932413
1523364254617,1.2548815,-0.14008227,1.8181401
1523364254625,0.7352988,-0.09427591,1.1038803
1523364254676,0.7803062,-0.13475595,0.76246303
1523364254681,0.68682927,0.13954964,0.7909589
1523364254730,0.43303,0.6135923,0.22663501
1523364254739,0.7866978,1.6026903,-0.40879524
1523364254811,0.02876214,0.049534798,-0.5336975
1523364254817,-0.087884314,-0.1571265,-0.39601207
1523364254823,0.2511361,0.22423817,-0.10226539
1523364254867,0.6332997,-0.13848437,0.052996907
1523364254875,0.9534117,-0.2593919,-0.13502227
1523364254885,0.7821704,-0.32117724,-0.17204021
1523364254935,0.47377637,-0.029827405,0.22876555
1523364254939,0.257794,0.083090626,0.46392268
1523364254987,0.24607609,0.3057309,0.22690132
1523364254991,0.09241169,0.4596616,-0.107858025
1523364255068,-0.09853696,0.058589544,-0.22876555
1523364255073,-0.3139867,0.49055427,-0.23648871
1523364255080,-0.55979645,0.34248254,-0.25033715
1523364255125,-0.91160005,0.6034723,-0.44661212
1523364255133,-1.1555456,0.813862,-0.484429
1523364255140,-1.1725899,0.48522797,-0.16378441
1523364255193,-1.4125407,-0.17736652,-0.5209143
1523364255197,-1.9555593,-0.20026971,-1.3161342
1523364255245,-2.4817998,-0.05273059,-2.1249363
1523364255251,-2.437325,-0.46339005,-2.4964473
1523364255271,-2.0085561,-1.2000204,-2.1161478
1523364255334,-1.3132048,-1.4620755,-1.5470303
1523364255338,-0.60507023,-1.1968247,-0.9893644
1523364255348,0.095074855,-0.46818373,-0.7107977
1523364255390,0.6013418,-0.19014971,-0.36591834
1523364255400,0.9403622,-0.27057716,0.25086978
1523364255403,1.1217234,-0.6791061,0.65859973
1523364255453,1.4777881,-0.88683265,1.0743192
1523364255461,1.7989653,-0.34780884,1.6359799
1523364255512,1.9017633,0.10279802,2.078331
1523364255515,1.8461033,0.23595607,2.2011027
1523364255583,1.4586134,-0.58962387,2.1909826
1523364255595,1.2080098,-1.3422332,1.4136059
1523364255641,0.53982276,0.813862,0.5853628
1523364255649,0.67324716,2.1880531,0.04474111
1523364255658,0.5992113,1.1345067,-0.32463935
1523364255663,0.17603496,1.2559468,-0.5057343
1523364255711,0.030626353,0.0026631611,-0.43782368
1523364255714,-0.047670584,0.27696875,-0.78110516
1523364255776,0.119043306,0.3920173,-0.20959078
1523364255779,0.40852892,-0.2082592,-0.11451593
1523364255827,0.18482338,0.2806972,-0.12942964
1523364255834,0.3390204,0.013315806,0.33262882
1523364255852,0.54195327,-0.035153728,0.36565202
1523364255913,0.5499428,0.066046394,0.28362668
1523364255918,0.49667954,0.23276028,0.14434333
1523364255927,0.18056233,0.340352,-0.037284255
1523364255970,-0.05965481,0.39787626,-0.033822145
1523364255978,-0.24021713,0.48842376,-0.046871636
1523364255990,-0.3640541,0.31798145,-0.10626013
1523364256039,-0.4575311,0.21198763,-0.27004454
1523364256043,-0.8223842,-0.051132694,-0.4165184
1523364256092,-1.3883059,0.015978966,-0.65194184
